diver_id,diver_number,height,ave_score,high_score,times_competed
10053,001A,001A,3M,17.67,21.50,6
10053,001B,001B,3M,15.83,16.50,3
10053,002A,002A,3M,21.71,31.35,4
10053,100A,100A,3M,16.83,18.00,6
10053,100C,100C,3M,18.33,19.50,3
10053,101B,101B,1M,15.60,19.50,3
10053,101C,101C,1M,18.43,21.00,14
10053,101C,101C,3M,22.05,27.30,8
10053,102C,102C,1M,14.53,20.30,4
10053,103B,103B,1M,28.48,35.70,4
10053,103C,103C,1M,22.00,28.00,10
10053,103C,103C,3M,24.00,24.00,2
10053,104C,104C,1M,25.30,36.30,4
10053,200A,200A,3M,17.72,20.00,9
10053,201A,201A,1M,21.01,30.60,7
10053,201C,201C,1M,17.25,24.00,11
10053,202A,202A,1M,22.10,22.95,2
10053,202C,202C,1M,19.93,25.50,14
10053,301C,301C,1M,22.67,27.20,6
10053,302C,302C,1M,23.29,28.80,9
10053,302C,302C,3M,24.70,24.70,1
10053,401B,401B,1M,22.50,26.25,3
10053,401C,401C,1M,20.63,23.80,15
10053,401C,401C,3M,20.47,25.65,9
10053,402C,402C,1M,21.60,26.40,5
10053,5122D,5122D,1M,28.98,30.40,2
10053,5211A,5211A,1M,22.87,31.50,17
10053,5211A,5211A,3M,22.38,28.00,8
10053,5221D,5221D,1M,10.88,19.55,5
10072,101B,101B,3M,45.72,52.80,56
10072,101B,101B,5M,27.30,30.55,3
10072,103B,103B,1M,35.61,40.80,28
10072,103B,103B,3M,34.23,39.20,32
10072,103B,103B,5M,31.68,34.68,3
10072,103B,103B,7.5M,32.80,36.00,10
10072,103B,103B,10M,37.20,38.40,2
10072,103C,103C,1M,36.80,40.00,6
10072,104B,104B,1M,48.99,48.99,1
10072,104C,104C,1M,41.43,42.90,3
10072,105B,105B,1M,52.43,62.40,88
10072,105B,105B,3M,48.69,61.20,58
10072,105B,105B,5M,47.67,53.30,3
10072,105C,105C,1M,43.35,50.40,16
10072,105C,105C,5M,43.87,52.80,14
10072,107B,107B,3M,59.43,76.26,107
10072,107B,107B,10M,53.70,66.00,5
10072,107C,107C,3M,50.21,65.80,31
10072,107C,107C,7.5M,49.00,49.00,1
10072,201B,201B,1M,34.07,39.20,17
10072,201B,201B,3M,43.71,51.00,31
10072,203B,203B,1M,48.95,58.65,75
10072,203B,203B,3M,47.03,51.15,16
10072,203C,203C,1M,24.25,27.00,4
10072,205B,205B,3M,62.69,77.40,150
10072,205C,205C,3M,49.93,63.00,41
10072,205C,205C,5M,30.50,48.00,3
10072,207C,207C,10M,40.43,44.55,2
10072,301B,301B,1M,36.51,42.50,29
10072,301B,301B,3M,46.24,53.40,94
10072,301B,301B,5M,38.25,38.25,1
10072,301B,301B,7.5M,41.09,45.60,8
10072,301C,301C,1M,28.00,30.40,2
10072,301C,301C,3M,33.55,37.80,11
10072,301C,301C,5M,28.13,32.00,5
10072,301C,301C,7.5M,31.95,36.00,2
10072,302A,302A,1M,43.74,43.74,1
10072,303B,303B,1M,53.93,67.20,89
10072,303B,303B,3M,44.51,51.75,10
10072,303C,303C,3M,28.00,34.00,5
10072,305B,305B,3M,58.47,81.00,79
10072,305C,305C,3M,55.80,75.60,47
10072,305C,305C,7.5M,37.80,37.80,1
10072,305C,305C,10M,58.32,71.55,5
10072,401B,401B,1M,32.15,39.00,29
10072,401B,401B,3M,49.36,53.40,77
10072,401B,401B,5M,29.25,29.25,1
10072,403B,403B,1M,50.21,61.20,104
10072,403B,403B,3M,43.00,55.65,51
10072,403B,403B,5M,38.28,46.80,4
10072,403B,403B,7.5M,41.79,51.45,10
10072,403B,403B,10M,42.00,48.00,2
10072,405B,405B,3M,60.49,74.70,78
10072,405C,405C,3M,53.93,68.85,85
10072,405C,405C,5M,50.32,66.65,15
10072,405C,405C,7.5M,55.35,56.70,3
10072,407C,407C,10M,65.28,75.20,5
10072,5132D,5132D,1M,41.67,49.50,35
10072,5132D,5132D,3M,36.83,45.15,13
10072,5132D,5132D,5M,41.31,46.20,8
10072,5142B,5142B,1M,45.10,52.65,11
10072,5152B,5152B,3M,64.37,78.30,201
10072,5231D,5231D,1M,41.94,46.20,17
10072,5231D,5231D,3M,43.25,49.00,24
10072,5231D,5231D,5M,38.33,40.95,2
10072,5231D,5231D,7.5M,39.38,45.00,8
10072,5231D,5231D,10M,42.50,44.00,2
10072,5233D,5233D,1M,40.00,45.00,2
10072,5233D,5233D,3M,45.77,48.00,7
10072,5233D,5233D,5M,43.75,48.75,8
10072,5253B,5253B,10M,45.05,45.90,2
10072,5331D,5331D,1M,47.37,56.10,45
10072,5333D,5333D,1M,52.36,63.70,40
10072,612B,612B,5M,26.39,30.60,4
10072,612B,612B,7.5M,27.90,27.90,1
10072,612B,612B,10M,33.73,36.10,2
10335,103B,103B,1M,32.81,35.70,5
10335,103B,103B,3M,29.60,32.00,4
10335,105B,105B,1M,32.93,33.80,3
10335,105B,105B,3M,42.60,49.20,4
10335,105C,105C,1M,43.20,44.40,2
10335,201B,201B,1M,33.44,35.20,5
10335,201B,201B,3M,36.68,38.70,4
10335,203B,203B,1M,37.72,41.40,5
10335,205C,205C,3M,42.35,46.20,4
10335,301B,301B,1M,33.83,37.40,5
10335,301B,301B,3M,35.63,38.00,4
10335,303B,303B,1M,29.40,39.60,4
10335,303C,303C,1M,29.40,29.40,1
10335,305C,305C,3M,35.70,42.00,4
10335,401B,401B,1M,29.55,30.75,5
10335,403B,403B,1M,46.32,50.40,5
10335,403B,403B,3M,39.38,40.95,4
10335,405C,405C,3M,48.94,52.65,4
10335,5132D,5132D,3M,39.11,40.95,4
10335,5134D,5134D,1M,40.30,44.20,5
10335,5233D,5233D,1M,40.75,48.75,5
10335,5235D,5235D,3M,43.40,46.20,4
10302,101B,101B,1M,24.38,24.70,2
10302,103B,103B,1M,32.07,35.70,17
10302,103B,103B,3M,30.48,34.40,20
10302,103B,103B,10M,31.72,35.20,8
10302,105B,105B,1M,46.91,56.55,39
10302,105B,105B,7.5M,46.80,46.80,1
10302,105C,105C,1M,40.80,44.40,3
10302,107B,107B,3M,53.86,65.10,10
10302,107C,107C,1M,34.50,34.50,1
10302,107C,107C,3M,46.34,58.80,29
10302,107C,107C,10M,49.20,60.75,13
10302,201B,201B,1M,30.76,34.40,18
10302,201B,201B,3M,33.58,40.50,20
10302,201C,201C,1M,30.75,30.75,1
10302,203B,203B,1M,38.46,46.00,21
10302,205B,205B,3M,51.14,65.25,16
10302,205C,205C,1M,48.71,60.00,21
10302,205C,205C,3M,50.75,64.40,25
10302,205C,205C,5M,44.83,63.00,9
10302,301B,301B,1M,30.94,34.00,17
10302,301B,301B,3M,33.05,40.85,19
10302,301B,301B,7.5M,34.96,36.10,5
10302,301C,301C,1M,29.60,29.60,1
10302,301C,301C,3M,29.70,29.70,1
10302,301C,301C,5M,31.20,31.20,1
10302,301C,301C,7.5M,29.70,29.70,1
10302,303B,303B,1M,33.87,43.20,9
10302,305B,305B,3M,46.88,58.50,14
10302,305C,305C,1M,43.62,64.50,32
10302,305C,305C,3M,45.14,64.40,27
10302,305C,305C,5M,30.75,39.00,4
10302,305C,305C,7.5M,40.95,54.60,8
10302,401B,401B,1M,29.64,33.00,19
10302,403B,403B,1M,44.41,52.80,23
10302,403B,403B,3M,39.20,45.15,20
10302,403B,403B,10M,37.23,40.00,8
10302,405C,405C,1M,52.66,65.10,21
10302,405C,405C,3M,48.78,56.70,37
10302,405C,405C,7.5M,44.96,58.05,14
10302,5132D,5132D,1M,41.46,45.10,19
10302,5132D,5132D,3M,41.53,47.25,20
10302,5132D,5132D,10M,41.16,47.25,8
10302,5152B,5152B,3M,52.21,66.00,26
10302,5233D,5233D,1M,42.71,52.50,14
10302,5233D,5233D,5M,44.25,51.25,5
10302,5235D,5235D,3M,52.04,60.20,29
10302,5235D,5235D,7.5M,47.79,57.40,9
10302,5333D,5333D,1M,49.49,59.80,22
10302,5335D,5335D,1M,50.11,66.00,22
10302,5335D,5335D,3M,51.23,53.65,3
10302,5337D,5337D,3M,33.00,33.00,1
10302,5353C,5353C,3M,39.05,44.55,3
10302,612B,612B,7.5M,22.50,22.50,1
10302,612B,612B,10M,29.45,34.20,3
10302,614B,614B,10M,36.48,45.60,5
10425,103B,103B,1M,34.97,36.55,7
10425,103B,103B,3M,32.69,36.00,9
10425,103B,103B,7.5M,34.88,35.20,2
10425,103B,103B,10M,43.20,48.60,4
10425,103C,103C,3M,25.50,25.50,1
10425,103C,103C,5M,36.80,36.80,1
10425,104B,104B,1M,36.23,44.85,11
10425,105B,105B,1M,48.23,61.10,36
10425,105B,105B,3M,49.35,61.20,38
10425,105B,105B,5M,48.95,54.60,4
10425,105C,105C,1M,31.20,31.20,1
10425,107B,107B,10M,61.44,81.00,148
10425,107C,107C,3M,49.00,61.60,15
10425,107C,107C,10M,41.40,51.30,3
10425,201B,201B,1M,28.57,34.40,7
10425,201B,201B,3M,32.86,41.40,11
10425,201B,201B,10M,44.64,50.40,39
10425,203A,203A,3M,34.80,34.80,1
10425,203B,203B,1M,40.58,51.75,43
10425,203B,203B,5M,33.35,33.35,1
10425,205B,205B,10M,45.47,69.60,45
10425,205C,205C,3M,45.84,67.20,25
10425,205C,205C,5M,47.75,58.50,6
10425,207C,207C,10M,45.97,74.25,54
10425,301B,301B,1M,33.03,36.55,7
10425,301B,301B,3M,38.14,44.65,7
10425,301B,301B,5M,36.55,37.40,3
10425,301B,301B,10M,44.16,49.20,45
10425,303B,303B,1M,42.62,61.20,32
10425,303C,303C,1M,35.39,44.10,5
10425,303C,303C,5M,30.45,30.45,1
10425,305C,305C,3M,44.86,68.60,25
10425,401B,401B,1M,29.46,36.00,7
10425,403B,403B,1M,50.15,57.60,45
10425,403B,403B,3M,43.53,52.50,13
10425,403B,403B,5M,49.20,55.20,2
10425,403B,403B,7.5M,44.00,45.15,2
